,idade_pessoa,salario_pessoa,situacao_propriedade_pessoa,tempo_trabalhado_pessoa,motivo_emprestimo,pontuacao_emprestimo,valor_emprestimo,taxa_juros_emprestimo,status_emprestimo,porcentagem_salario_emprestimo,foi_inadimplente_cb,tempo_primeira_solicitacao_credito_cb
0,1,2,1,3.0,5,1,7,6.99,0.0,0.12,0,0.3
1,2,2,1,2.0,2,1,7,7.88,0.0,0.16,0,0.8
2,2,2,3,11.0,1,2,15,12.18,0.0,0.18,0,1.0
3,2,2,1,2.0,1,1,4,8.94,0.0,0.1,0,1.0
4,1,2,1,0.0,5,4,15,14.83,1.0,0.27,1,0.4
5,1,2,3,5.0,6,5,7,19.03,1.0,0.17,0,0.4
6,2,3,2,9.0,5,2,19,9.63,0.0,0.15,0,0.9
7,1,2,2,5.0,1,1,14,6.03,0.0,0.29,0,0.2
8,2,2,1,2.0,5,2,3,11.49,0.0,0.05,0,0.5
9,5,2,2,1.0,4,3,6,13.16,0.0,0.11,1,3.0
10,1,2,1,3.0,2,5,15,15.68,1.0,0.3,0,0.4
11,1,3,2,7.0,2,1,4,5.42,0.0,0.03,0,0.3
12,4,2,1,3.0,6,3,8,12.84,0.0,0.16,1,1.7
13,4,2,4,2.0,4,4,12,16.0,1.0,0.14,1,1.2
14,3,3,1,10.0,1,1,10,7.66,0.0,0.09,0,1.1
15,2,3,1,13.0,5,1,12,7.88,0.0,0.12,0,0.9
16,2,2,1,0.0,2,1,13,5.79,1.0,0.34,0,0.8
17,6,2,2,29.0,2,3,25,13.43,1.0,0.34,1,2.8
18,1,3,2,4.0,4,2,20,12.53,0.0,0.23,0,0.2
19,1,3,2,4.0,1,2,20,10.99,0.0,0.21,0,0.3
20,2,4,2,6.0,5,1,7,5.42,0.0,0.01,0,0.9
21,1,3,2,3.0,1,2,10,10.59,0.0,0.09,0,0.2
22,1,2,1,1.0,5,2,7,11.89,0.0,0.16,0,0.4
23,1,2,1,6.0,3,2,15,11.71,1.0,0.38,0,0.4
24,1,2,1,4.0,5,1,12,8.94,0.0,0.21,0,0.2
