,idade_pessoa,salario_pessoa,situacao_propriedade_pessoa,tempo_trabalhado_pessoa,motivo_emprestimo,pontuacao_emprestimo,valor_emprestimo,taxa_juros_emprestimo,status_emprestimo,porcentagem_salario_emprestimo,foi_inadimplente_cb,tempo_primeira_solicitacao_credito_cb
0,23.0,54000.0,Aluguel,3.0,Pagamento de débitos,A,6250.0,6.99,0.0,0.12,N,3
1,27.0,42000.0,Aluguel,2.0,Médico,A,6550.0,7.88,0.0,0.16,N,8
2,29.0,84000.0,Própria,11.0,Educativo,B,15000.0,12.18,0.0,0.18,N,10
3,29.0,35000.0,Aluguel,2.0,Educativo,A,3600.0,8.94,0.0,0.1,N,10
4,22.0,55000.0,Aluguel,0.0,Pagamento de débitos,D,15000.0,14.83,1.0,0.27,S,4
5,25.0,40800.0,Própria,5.0,Melhora do lar,E,7000.0,19.03,1.0,0.17,N,4
6,30.0,120000.0,Hipoteca,9.0,Pagamento de débitos,B,18400.0,9.63,0.0,0.15,N,9
7,21.0,47580.0,Hipoteca,5.0,Educativo,A,14000.0,6.03,0.0,0.29,N,2
8,28.0,60000.0,Aluguel,2.0,Pagamento de débitos,B,3000.0,11.49,0.0,0.05,N,5
9,57.0,53000.0,Hipoteca,1.0,Personal,C,5800.0,13.16,0.0,0.11,S,30
10,24.0,49700.0,Aluguel,3.0,Médico,E,15000.0,15.68,1.0,0.3,N,4
11,25.0,120000.0,Hipoteca,7.0,Médico,A,4000.0,5.42,0.0,0.03,N,3
12,43.0,50000.0,Aluguel,3.0,Melhora do lar,C,8000.0,12.84,0.0,0.16,S,17
13,44.0,83000.0,Outro,2.0,Personal,D,12000.0,16.0,1.0,0.14,S,12
14,37.0,117000.0,Aluguel,10.0,Educativo,A,10000.0,7.66,0.0,0.09,N,11
15,30.0,100000.0,Aluguel,13.0,Pagamento de débitos,A,12000.0,7.88,0.0,0.12,N,9
16,30.0,38000.0,Aluguel,0.0,Médico,A,12800.0,5.79,1.0,0.34,N,8
17,62.0,62050.0,Hipoteca,29.0,Médico,C,25000.0,13.43,1.0,0.34,S,28
18,23.0,86670.0,Hipoteca,4.0,Personal,B,20000.0,12.53,0.0,0.23,N,2
19,23.0,96000.0,Hipoteca,4.0,Educativo,B,20000.0,10.99,0.0,0.21,N,3
20,29.0,480000.0,Hipoteca,6.0,Pagamento de débitos,A,6500.0,5.42,0.0,0.01,N,9
21,23.0,115000.0,Hipoteca,3.0,Educativo,B,10000.0,10.59,0.0,0.09,N,2
22,25.0,40000.0,Aluguel,1.0,Pagamento de débitos,B,6500.0,11.89,0.0,0.16,N,4
23,23.0,40000.0,Aluguel,6.0,Empreendimento,B,15000.0,11.71,1.0,0.38,N,4
24,23.0,57000.0,Aluguel,4.0,Pagamento de débitos,A,12000.0,8.94,0.0,0.21,N,2
25,25.0,55044.0,Aluguel,4.0,Empreendimento,E,18250.0,17.56,1.0,0.33,N,2
26,26.0,70000.0,Aluguel,2.0,Pagamento de débitos,B,10000.0,9.45,0.0,0.14,N,3
27,24.0,30000.0,Aluguel,2.0,Educativo,A,3000.0,6.03,0.0,0.1,N,3
28,35.0,30000.0,Hipoteca,2.0,Educativo,A,3300.0,5.99,0.0,0.11,N,6
29,23.0,55000.0,Hipoteca,7.0,Médico,C,10000.0,13.99,0.0,0.18,S,3
30,27.0,67000.0,Aluguel,1.0,Personal,C,2800.0,13.04,0.0,0.04,N,7
31,25.0,46800.0,Aluguel,5.0,Melhora do lar,C,12000.0,13.11,1.0,0.26,S,4
32,22.0,40058.0,Hipoteca,5.0,Empreendimento,B,6000.0,9.91,0.0,0.15,N,2
33,22.0,55992.0,Aluguel,6.0,Empreendimento,B,14000.0,12.21,0.0,0.25,N,3
34,32.0,80000.0,Aluguel,1.0,Médico,B,6400.0,10.99,0.0,0.08,N,10
35,21.0,52000.0,Aluguel,5.0,Personal,B,1500.0,11.99,0.0,0.03,N,2
36,31.0,140000.0,Hipoteca,2.0,Melhora do lar,B,11000.0,10.0,0.0,0.08,N,8
37,30.0,70000.0,Hipoteca,14.0,Educativo,B,8000.0,9.91,0.0,0.11,N,5
38,24.0,183000.0,Hipoteca,2.0,Médico,B,20000.0,11.49,0.0,0.11,N,3
39,31.0,121000.0,Hipoteca,15.0,Pagamento de débitos,C,25000.0,12.73,0.0,0.21,S,9
40,44.0,24300.0,Aluguel,0.0,Empreendimento,D,9750.0,16.77,1.0,0.4,N,15
41,28.0,63000.0,Hipoteca,7.0,Educativo,C,8575.0,13.49,0.0,0.14,N,8
42,28.0,150000.0,Hipoteca,12.0,Melhora do lar,B,15000.0,11.89,0.0,0.1,N,9
43,23.0,24000.0,Hipoteca,1.0,Educativo,B,5600.0,9.63,0.0,0.23,N,3
44,22.0,47472.0,Hipoteca,6.0,Empreendimento,B,20000.0,11.83,0.0,0.42,N,3
45,39.0,34000.0,Hipoteca,1.0,Empreendimento,B,5200.0,9.76,0.0,0.15,N,16
46,28.0,41500.0,Aluguel,3.0,Médico,D,11000.0,15.33,1.0,0.27,S,5
47,24.0,79631.0,Aluguel,8.0,Personal,D,25000.0,15.7,1.0,0.31,S,2
48,27.0,80000.0,Aluguel,3.0,Educativo,A,20000.0,7.49,0.0,0.25,N,9
49,26.0,72000.0,Hipoteca,10.0,Educativo,A,4000.0,9.32,0.0,0.06,N,4
50,40.0,55182.0,Aluguel,0.0,Empreendimento,A,6000.0,6.99,0.0,0.11,N,13
51,23.0,160000.0,Hipoteca,7.0,Pagamento de débitos,A,15000.0,7.91,0.0,0.09,N,4
52,36.0,34000.0,Aluguel,2.0,Personal,C,6000.0,13.57,0.0,0.18,N,16
53,25.0,60000.0,Própria,9.0,Melhora do lar,C,1400.0,14.22,0.0,0.02,S,3
54,21.0,12000.0,Aluguel,3.0,Educativo,B,1600.0,10.59,1.0,0.13,N,2
55,23.0,24000.0,Hipoteca,1.0,Pagamento de débitos,D,2800.0,16.07,1.0,0.12,N,3
56,25.0,45000.0,Aluguel,0.0,Empreendimento,C,10000.0,12.98,0.0,0.22,S,2
57,29.0,62000.0,Hipoteca,5.0,Pagamento de débitos,A,10000.0,5.99,0.0,0.16,N,8
58,30.0,150000.0,Aluguel,3.0,Personal,E,25000.0,17.56,0.0,0.17,N,5
59,26.0,88000.0,Aluguel,2.0,Empreendimento,D,25000.0,15.65,1.0,0.28,N,3
60,24.0,78000.0,Hipoteca,8.0,Empreendimento,C,24000.0,15.96,1.0,0.31,N,4
61,23.0,160000.0,Hipoteca,5.0,Empreendimento,A,35000.0,7.66,0.0,0.22,N,3
62,23.0,55000.0,Aluguel,4.0,Empreendimento,A,4500.0,8.49,0.0,0.08,N,3
63,33.0,100000.0,Hipoteca,1.0,Melhora do lar,B,25000.0,10.39,0.0,0.25,N,8
64,23.0,21600.0,Aluguel,2.0,Médico,D,6000.0,14.42,1.0,0.28,N,4
65,21.0,29004.0,Aluguel,5.0,Médico,C,11000.0,14.22,1.0,0.38,N,2
66,50.0,102031.0,Hipoteca,9.0,Melhora do lar,D,12000.0,14.96,0.0,0.12,S,11
67,36.0,15000.0,Aluguel,0.0,Personal,C,5000.0,10.59,1.0,0.33,N,11
68,24.0,77000.0,Aluguel,6.0,Médico,B,12000.0,11.49,0.0,0.16,N,4
69,32.0,25000.0,Outro,3.0,Pagamento de débitos,A,11200.0,7.88,1.0,0.45,N,5
70,26.0,68000.0,Aluguel,3.0,Educativo,D,10000.0,15.05,0.0,0.15,N,4
71,37.0,89000.0,Hipoteca,3.0,Educativo,A,5000.0,6.91,0.0,0.06,N,15
72,30.0,110000.0,Hipoteca,8.0,Médico,A,4800.0,5.99,0.0,0.04,N,5
73,26.0,27983.0,Hipoteca,7.0,Empreendimento,A,6000.0,7.88,0.0,0.21,N,3
74,27.0,48000.0,Aluguel,2.0,Personal,C,25000.0,10.59,1.0,0.52,N,7
75,26.0,81000.0,Aluguel,7.0,Melhora do lar,C,16000.0,13.85,0.0,0.2,S,2
76,30.0,155000.0,Aluguel,9.0,Pagamento de débitos,A,6000.0,7.14,0.0,0.04,N,10
77,36.0,34000.0,Aluguel,5.0,Médico,C,5500.0,12.29,0.0,0.16,N,17
78,36.0,150000.0,Própria,8.0,Empreendimento,A,7200.0,6.92,0.0,0.05,N,13
79,29.0,87000.0,Hipoteca,6.0,Empreendimento,A,4800.0,8.94,0.0,0.06,N,5
80,22.0,100000.0,Hipoteca,3.0,Empreendimento,B,12000.0,11.11,0.0,0.12,N,3
